movie_id,movie_name,release,box_office,avg_price,avg_people,movie_score,movie_category,country,movie_link
1375543,盛夏未来,2021-07-30,38685,37.1115,6,9.1,"剧情,青春",中国大陆,https://piaofang.maoyan.com/movie/1375543
243,阿凡达,2010-01-04,37522,34.88715,8,9.4,"动作,科幻,冒险","美国,英国",https://piaofang.maoyan.com/movie/243
247871,我要我们在一起,2021-05-20,32615,36.910038,9,8.2,"爱情,剧情",中国大陆,https://piaofang.maoyan.com/movie/247871
553231,心灵奇旅,2020-12-25,29796,37.752808,8,9.2,"动画,喜剧,冒险",美国,https://piaofang.maoyan.com/movie/553231
1302134,哆啦A梦：伴我同行2,2021-05-28,27757,33.568768,7,9.0,"剧情,动画",日本,https://piaofang.maoyan.com/movie/1302134
1199007,侍神令,2021-02-12,27398,46.45863,15,8.5,奇幻,中国大陆,https://piaofang.maoyan.com/movie/1199007
1444523,穿过寒冬拥抱你,2021-12-31,27147,43.559772,67,9.5,"剧情,爱情",中国大陆,https://piaofang.maoyan.com/movie/1444523
1360592,当男人恋爱时,2021-06-11,26420,32.38967,6,8.6,"爱情,剧情","中国香港,中国台湾",https://piaofang.maoyan.com/movie/1360592
1164582,沙丘,2021-10-22,25388,42.06831,7,7.8,"科幻,冒险,动作","美国,英国,匈牙利,加拿大",https://piaofang.maoyan.com/movie/1164582
1242151,寂静之地2,2021-05-28,24950,34.796326,7,7.8,"惊悚,悬疑,剧情",美国,https://piaofang.maoyan.com/movie/1242151
1298311,追虎擒龙,2021-05-01,24367,38.394653,10,8.6,"犯罪,剧情,动作","中国大陆,中国香港",https://piaofang.maoyan.com/movie/1298311
1331230,门锁,2021-11-19,24226,34.368973,5,7.7,"悬疑,犯罪,惊悚",中国大陆,https://piaofang.maoyan.com/movie/1331230
1283276,大红包,2021-01-22,23534,33.37697,6,8.1,喜剧,中国大陆,https://piaofang.maoyan.com/movie/1283276
1299178,名侦探柯南：绯色的子弹,2021-04-17,21609,33.693844,5,8.4,"动作,动画,悬疑",日本,https://piaofang.maoyan.com/movie/1299178
1241385,秘密访客,2021-05-01,21488,38.35864,10,7.6,"悬疑,犯罪,剧情",中国大陆,https://piaofang.maoyan.com/movie/1241385
1225503,比得兔2：逃跑计划,2021-06-11,19783,32.814682,7,9.0,"动画,冒险,喜剧","美国,澳大利亚",https://piaofang.maoyan.com/movie/1225503
